pk	evidence	params
150	[-4370. -4370. -4370. -4370. -4370.]	[0.48  5.    5.    2.272 3.683 0.529 2.738 4.912]
50	[-4318. -4318. -4318. -4318. -4318.]	[2.883 5.    5.    3.371 3.499 0.29  4.357 4.646]
100	[-4447. -4447. -4447. -4447. -4447.]	[1.445 5.    5.    3.891 3.713 0.68  3.158 4.916]
0	[-4344. -4344. -4344. -4344. -4344.]	[2.372 5.    5.    3.363 3.423 0.315 4.205 4.68 ]
175	[-4331. -4331. -4331. -4331. -4331.]	[0.    5.    5.    2.107 3.527 0.262 2.697 5.   ]
25	[-4325. -4325. -4325. -4325. -4325.]	[2.752 5.    5.    3.355 3.495 0.303 4.277 4.656]
125	[-4402. -4402. -4402. -4402. -4402.]	[1.104 5.    5.    3.158 3.778 0.6   2.869 4.848]
75	[-4330. -4330. -4330. -4330. -4330.]	[2.941 5.    5.    3.446 3.526 0.334 4.351 4.69 ]
151	[-4370.  1022. -4370. -4370. -4370.]	[0.542 5.    5.    2.275 3.683 0.537 2.769 4.905]
101	[-4440.  1022. -4440. -4440. -4440.]	[1.536 5.    5.    3.846 3.739 0.651 3.155 4.899]
1	[-4339.  1023. -4339. -4339. -4339.]	[2.461 5.    5.    3.356 3.441 0.313 4.212 4.677]
76	[-4329.  1023. -4329. -4329. -4329.]	[2.946 5.    5.    3.442 3.525 0.331 4.358 4.687]
51	[-4316.  1023. -4316. -4316. -4316.]	[2.88  5.    5.    3.36  3.493 0.279 4.367 4.637]
126	[-4398.  1022. -4398. -4398. -4398.]	[1.172 5.    5.    3.117 3.758 0.575 2.939 4.833]
26	[-4319.  1023. -4319. -4319. -4319.]	[2.775 5.    5.    3.334 3.489 0.284 4.304 4.64 ]
176	[-4332.  1022. -4332. -4332. -4332.]	[0.    5.    5.    2.105 3.524 0.266 2.702 5.   ]
102	[-4431. -4431. -4431. -4431. -4431.]	[1.598 5.    5.    3.776 3.742 0.611 3.175 4.884]
152	[-4371. -4371. -4371. -4371. -4371.]	[0.592 5.    5.    2.278 3.682 0.543 2.797 4.899]
77	[-4328. -4328. -4328. -4328. -4328.]	[2.95  5.    5.    3.438 3.523 0.328 4.364 4.684]
27	[-4314. -4314. -4314. -4314. -4314.]	[2.787 5.    5.    3.315 3.482 0.267 4.325 4.623]
2	[-4333. -4333. -4333. -4333. -4333.]	[2.551 5.    5.    3.345 3.456 0.307 4.231 4.668]
127	[-4395. -4395. -4395. -4395. -4395.]	[1.239 5.    5.    3.093 3.74  0.558 3.004 4.825]
52	[-4314. -4314. -4314. -4314. -4314.]	[2.883 5.    5.    3.351 3.489 0.272 4.378 4.631]
177	[-4333. -4333. -4333. -4333. -4333.]	[0.    5.    5.    2.104 3.522 0.269 2.706 5.   ]
153	[-4371. -4371. -4371. -4371. -4371.]	[0.634 5.    5.    2.281 3.681 0.547 2.821 4.895]
28	[-4310. -4310. -4310. -4310. -4310.]	[2.8   5.    5.    3.299 3.475 0.253 4.346 4.611]
103	[-4422. -4422. -4422. -4422. -4422.]	[1.666 5.    5.    3.702 3.733 0.574 3.22  4.87 ]
78	[-4327. -4327. -4327. -4327. -4327.]	[2.95  5.    5.    3.435 3.521 0.325 4.368 4.681]
3	[-4327. -4327. -4327. -4327. -4327.]	[2.618 5.    5.    3.328 3.467 0.293 4.249 4.654]
128	[-4393. -4393. -4393. -4393. -4393.]	[1.302 5.    5.    3.076 3.724 0.546 3.063 4.819]
178	[-4334. -4334. -4334. -4334. -4334.]	[0.    5.    5.    2.103 3.519 0.272 2.71  5.   ]
53	[-4312. -4312. -4312. -4312. -4312.]	[2.882 5.    5.    3.343 3.485 0.265 4.385 4.625]
104	[-4414. -4414. -4414. -4414.  1022.]	[1.75  5.    5.    3.639 3.72  0.548 3.283 4.858]
29	[-4307. -4307. -4307. -4307.  1023.]	[2.814 5.    5.    3.286 3.47  0.243 4.364 4.601]
79	[-4326. -4326. -4326. -4326.  1023.]	[2.95  5.    5.    3.432 3.519 0.322 4.372 4.679]
4	[-4320. -4320. -4320. -4320.  1023.]	[2.662 5.    5.    3.306 3.47  0.275 4.269 4.635]
154	[-4371. -4371. -4371. -4371.  1022.]	[0.667 5.    5.    2.284 3.679 0.55  2.841 4.891]
129	[-4391. -4391. -4391. -4391.  1022.]	[1.357 5.    5.    3.063 3.711 0.537 3.114 4.815]
179	[-4335. -4335. -4335. -4335.  1022.]	[0.    5.    5.    2.102 3.517 0.275 2.713 5.   ]
54	[-4310. -4310. -4310. -4310.  1023.]	[2.883 5.    5.    3.337 3.482 0.26  4.392 4.62 ]
105	[-4407. -4407. -4407. -4407. -4407.]	[1.838 5.    5.    3.589 3.706 0.528 3.354 4.844]
30	[-4304. -4304. -4304. -4304. -4304.]	[2.827 5.    5.    3.277 3.466 0.234 4.38  4.594]
180	[-4204. -4204. -4204. -4204. -4204.]	[ 0.83   4.891  5.     2.427  3.533 -0.106  3.023  4.43 ]
5	[-4314. -4314. -4314. -4314. -4314.]	[2.694 5.    5.    3.284 3.468 0.257 4.292 4.617]
